¬ид акции;—тарт-окончание регул€рного промо;ѕериод подачи позиций; омментарии
Fresh каталог ;15.02.2024-21.02.2024;07.02.2024;
регул€рное промо;29.02.2024 - 13.03.2024;07.02.2024;
новое открытие;24.02.2024-26.02.2024;07.02.2024;Ё —.я  ј—ј–ќ… –ќ¬ƒ  (новое открытие) ћ128 
новое открытие;02.03.2024-04.03.2024;12.02.2024;„апан ёнусабад (новое открытие) ћ135
новое открытие;02.03.2024-04.03.2024;12.02.2024;Ё —. ќ–ј—”¬ M¬ƒ  (новое открытие) ћ104
новое открытие;02.03.2024-04.03.2024;12.02.2024;Ё —.“јЎ ≈Ќ“ Mј– ≈“  (новое открытие) ћ105
Fresh каталог ;22.02.2024-28.02.2024;14.02.2024;
Fresh каталог ;29.02.2024-06.03.2024;21.02.2024;
регул€рное промо;14.03.2024 - 27.03.2024;21.02.2024;
Fresh каталог ;14.03.2024-20.03.2024;06.03.2024;
регул€рное промо;28.03.2024 - 10.04.2024;06.03.2024;
Fresh каталог ;21.03.2024-27.03.2024;13.03.2024;
Fresh каталог ;28.03.2024-03.04.2024;20.03.2024;
регул€рное промо;11.04.2024 - 24.04.2024;20.03.2024;
Fresh каталог ;04.04.2024-10.04.2024;27.03.2024;
Fresh каталог ;11.04.2024-17.04.2024;03.04.2024;
регул€рное промо;25.04.2024 - 08.05.2024;03.04.2024;
Fresh каталог ;18.04.2024-24.04.2024;10.04.2024;
Fresh каталог ;25.04.2024-01.05.2024;17.04.2024;
регул€рное промо;9.05.2024 - 22.05.2024;17.04.2024;
Fresh каталог ;02.05.2024-08.05.2024;24.04.2024;
Fresh каталог ;09.05.2024-15.05.2024;01.05.2024;
регул€рное промо;23.05.2024 - 05.06.2024;01.05.2024;
Fresh каталог ;16.05.2024-22.05.2024;08.05.2024;
Fresh каталог ;23.05.2024-29.05.2024;15.05.2024;
регул€рное промо;6.06.2024 - 19.06.2024;15.05.2024;
Fresh каталог ;30.05.2024-05.06.2024;22.05.2024;
Fresh каталог ;06.06.2024-12.06.2024;29.05.2024;
регул€рное промо;20.06.2024 - 3.07.2024;29.05.2024;
Fresh каталог ;13.06.2024-19.06.2024;05.06.2024;
Fresh каталог ;20.06.2024-26.06.2024;12.06.2024;
регул€рное промо;4.07.2024 - 17.07.2024;12.06.2024;
Fresh каталог ;27.06.2024-03.07.2024;19.06.2024;
Fresh каталог ;04.07.2024-10.07.2024;26.06.2024;
регул€рное промо;18.07.2024 - 31.07.2024;26.06.2024;
Fresh каталог ;11.07.2024-17.07.2024;03.07.2024;
Fresh каталог ;18.07.2024-24.07.2024;10.07.2024;
регул€рное промо;1.08.2024 - 14.08.2024;10.07.2024;
Fresh каталог ;25.07.2024-31.07.2024;17.07.2024;
Fresh каталог ;01.08.2024-07.08.2024;24.07.2024;
регул€рное промо;15.08.2024 - 28.08.2024;24.07.2024;
Fresh каталог ;08.08.2024-14.08.2024;31.07.2024;
Fresh каталог ;15.08.2024-21.08.2024;07.08.2024;
регул€рное промо;29.08.2024 - 11.09.2024;07.08.2024;
Fresh каталог ;22.08.2024-28.08.2024;14.08.2024;
Fresh каталог ;29.08.2024-04.09.2024;21.08.2024;
регул€рное промо;12.09.2024 - 25.09.2024;21.08.2024;
Fresh каталог ;05.09.2024-11.09.2024;28.08.2024;
Fresh каталог ;12.09.2024-18.09.2024;04.09.2024;
регул€рное промо;26.09.2024 - 9.10.2024;04.09.2024;
Fresh каталог ;19.09.2024-25.09.2024;11.09.2024;
Fresh каталог ;26.09.2024-02.10.2024;18.09.2024;
регул€рное промо;10.10.2024 - 23.10.2024;18.09.2024;
Fresh каталог ;03.10.2024-9.10.2024;25.09.2024;
Fresh каталог ;10.10.2024-16.10.2024;02.10.2024;
регул€рное промо;24.10.2024 -6.11.2024;02.10.2024;
Fresh каталог ;17.10.2024-23.10.2024;09.10.2024;
Fresh каталог ;24.10.2024-30.10.2024;16.10.2024;
регул€рное промо;7.11.2024 - 20.11.2024;16.10.2024;
Fresh каталог ;31.10.2024-06.11.2024;23.10.2024;
Fresh каталог ;07.11.2024-13.11.2024;30.10.2024;
регул€рное промо;21.11.2024 - 4.12.2024;30.10.2024;
Fresh каталог ;14.11.2024-20.11.2024;06.11.2024;
Fresh каталог ;21.11.2024-27.11.2024;13.11.2024;
регул€рное промо;5.12.2024 - 18.12.2024;13.11.2024;
Fresh каталог ;28.11.2024-04.12.2024;20.11.2024;
Fresh каталог ;05.12.2024-11.12.2024;27.11.2024;
регул€рное промо;19.12.2024 - 1.01.2025;27.11.2024;
Fresh каталог ;12.12.2024-18.12.2024;04.12.2024;
Fresh каталог ;19.12.2024-25.12.2024;11.12.2024;
Fresh каталог ;26.12.2024-01.01.2024;18.12.2024;
регул€рное промо;02.01.2025 - 15.01.2025;25.12.2024;
